date,userid,tweet,lang,,,
2023-01-30 23:52:06+00:00,63b05107fd0128afb6efff6a5df29b710cce9788b3edd0a7f8ccd5a28b650b21,"@EricSpracklen @lsferguson @YouTube @Project_Veritas @pfizer If Elon Musk had purchased Twitter in January of 2020, pharmaceutical companies couldn鈥檛 have censored vitamin D treatments to save hundreds of thousands of Americans from severe symptoms and death from Covid 19, the vaccine would never have been given emergency authorization",en,,,
2023-01-30 23:51:34+00:00,2c101e7214f18048a42a9c3e56e4efaf1fd21d868516be71dc36a1af427d6046,Blood Donation and COVID-19 Vaccines https://t.co/Z5VEkuXlk6,en,,,
2023-01-30 23:51:03+00:00,260d10fcf82a617d5dd7423d12498538,"@drmikehart Table1:rates per million of COVID-19 hospitalisation (rates are for July 2022)1,250 serious events for each million vaccine recipientsTable 1: rates per million of COVID-19 severe hospitalisation(rates are for July 2022) 1,250 serious events for each million vaccine recipipien",en,,,
2023-01-30 23:50:13+00:00,8b992a2e1edfd9a033ed564cfdd7f539d21061e1756018b38e101fd959566190,"@stkirsch Note: Not related to Covid-19, this was pre Covid.  Bill Gates donated some cheap and dangerous polio vaccines to India, which apparently caused more than 50,000 cases of child paralysis.  The vaccines were useless, because polio was eradicated already, but he had to do good.",en,,,
2023-01-30 23:50:00+00:00,d1786d979e41b9629002bf788def0cb9ecf4b5a317e5a1ea92ee7a6a6ebe2fec,"鈥淚 have taken my last COVID vaccine without聽RCT level evidence it will reduce my risk of severe disease.鈥滱 growing number of #doctors say that they will not get #COVID-19 #vaccine #boosters, citing a lack of clinical trial evidence. https://t.co/EIU93Gg34i",en,,,
2023-01-30 23:49:15+00:00,37a5a67ea359c96389e5b4853f72859232fa63395a0455175035122beb089d4f,#wtpBLUE #ONEV1 #FreshResistsTODAY IN HISTORY2020 鈥?WHO聽declares Covid-19 a聽Public Health Emergency.2023 鈥?73 million Americans are still not vaccinated against Covid.9 million American children have not received the vaccine for measles.Any suggestions for this parent? https://t.co/FmcNKvUR2j,en,,,
2023-01-30 23:48:56+00:00,3e4789f72ca08d2d886502c0ed565d0c0d38230d2267eab691eb4a2b606beb83,"@ABC @sentdefender And when people stop taking COVID-19 seriously... (that is, half the country that has politicized vaccines)...",en,,,
2023-01-30 23:46:55+00:00,1313aaeb004d2278ec107f9f82f41965,"Biden says the Covid-19 emergency will end in May.  For those who suffered life-devastating vaccine reactions, our emergency endures and worsens daily.  We remain without remedies, recourse, or research! Pro-V, I took the V. Reactions Are Real  @CDCDirector @US_FDA @RepBrianFitz",en,,,
2023-01-30 23:45:13+00:00,979cb02f654f441e0a8ca7b8e26a56f4,"As of 4pm today, Cambridge is reporting:0 newly reported COVID-19 cases.0 newly reported COVID-19 deaths.7.3 cases per 100,000 residents, 7-day moving average.99% of residents with at least one vaccine dose and 78% fully vaccinated.More at https://t.co/YgmNLKcIMc #CambMA https://t.co/DdLlZ131ff",en,,,
2023-01-30 23:43:58+00:00,6731adb3e0e1fbd4c2b0205021e7bd55,@A1an_M @JamesMelville Feb 2021 before mass vaccination BBC.'There's no evidence that any of the current Covid-19 vaccines can completely stop people from being infected 鈥?and this has implications for our prospects of achieving herd immunity.'https://t.co/lpduRQG48t,en,,,
2023-01-30 23:43:12+00:00,3569594d3d03980a385d7bd9d2503adb1748d7a3a06c2c099fb19fd93698426a,@ColMustard34 @drdenwalker Exactly! It's unbelievable that they stil don't comprehend that the whole #Covid19 thing is a big scam. Covid-19 is--------馃憠馃徑fakeTests are----------馃憠馃徑fakeThe vaccines are-馃憠馃徑fake,en,,,
2023-01-30 23:41:17+00:00,4e2e66aad45b8ad03dd60216cd68f44b,"COVID-19 is not endemic, but the federal government is deciding to move on, which will significantly impact people unfortunately as funding for testing and vaccines will dry up. https://t.co/hkdAPeMV1x",en,,,
2023-01-30 23:40:35+00:00,0cdbbee8883d1d70dbce50335852e5ad,President Biden to end COVID-19 emergencies on May 11 - The Seattle Times-- News | The Perfect Enemy: https://t.co/xdzrPtvpHC.#Coronavirus #Coverage #Medicaid #PrivateInsurance #PublicHealth #Telehealth #Uninsured #Vaccines https://t.co/At2mSZXSlo,en,,,
2023-01-30 23:40:09+00:00,23291bf6ad8446e86845e97949ec6e4f,President Biden to end COVID-19 emergencies on May 11 - The Seattle Times-- News | The Perfect Enemy: https://t.co/8bQuHy1bbY.#Coronavirus #Coverage #Medicaid #PrivateInsurance #PublicHealth #Telehealth #Uninsured #Vaccines https://t.co/Tvfbwy8VaE,en,,,
2023-01-30 23:39:19+00:00,62a4b2465288b595c4bdd103be9411c852617725f260c455ee96601070af217e,6 Month old baby who #diedsuddenly 10 days after receiving the Covid 19 Vaccine 馃拤 The baby experienced 鈥淪hock-associated circulatory and cardiac conditions.鈥?The baby took a nap in the afternoon and was later found by his parents pulseless in a crib. https://t.co/NImSmYtmUa,en,,,
2023-01-30 23:38:39+00:00,5d2d17e00445f180b1ecd6763191db1f,"""For people without insurance, there will no longer be a pathway through Medicaid for free COVID-19 testing, vaccines, or treatment."" I have no words for how horrific this is. Around 4,000 people in the US are still dying from #COVID19 weekly. COVID is around #3 cause of death.",en,,,
2023-01-30 23:38:12+00:00,ff9b77d11009ac7593f6119f2ca2324d8c8ba37c010024a53f79c58f91013bb5,"Analyses have found that 12 people鈥攃oined the 鈥渄isinformation dozen鈥濃�攁re responsible for 65% of misleading claims, rumors, and lies about COVID-19 vaccines on social media.https://t.co/KNLuaUI7SG",en,,,
2023-01-30 23:37:56+00:00,f52024f3d8e5d25285f8818a2464806ddce567b9adc3921c630417b9726da8ac,"@Project_Veritas @YouTube @pfizer But the vaccines are ineffective at preventing a person from getting COVID-19. The proof are the countless number of vaccinated people who got COVID, including everyone in my household.",en,,,
2023-01-30 23:37:48+00:00,1c4a99d5ebed625e22318746212288ae,Human trials: Australia's first Covid-19 vaccine to be tested on locals https://t.co/AWQUGCx6Rq,en,,,
2023-01-30 23:36:35+00:00,21a1b1a52b78b8232e7927da8b362195a7924de02876ea9e6863c0a6333de7e8,@CTVNews Given Covid 19 vaccines are legal - why not,en,,,
2023-01-30 23:36:15+00:00,e7e7f9150bc11463e5f1ca39d6f388b4,The Department of Health (DOH) yesterday said the COVAX Facility has already committed to donate bivalent COVID-19 vaccines to the Philippines.https://t.co/3XD6PFSkHt,en,,,
2023-01-30 23:35:18+00:00,7820149d25ddbf2ee67afde1165be1f751a69a641a28f7ecfae3e771173414c3,What are the long term side effects of the COVID-19 Vaccines - Dr. Sadia Anees Ali l Humana: https://t.co/td3vRC8Dh4,en,,,
2023-01-30 23:35:18+00:00,acb308f888fccf382ee660645c37913d,What are the long term side effects of the COVID-19 Vaccines - Dr. Sadia Anees Ali l Humana: https://t.co/RP3Wdx9844,en,,,
2023-01-30 23:35:17+00:00,9ab4c4e4038466fd78e97103be709357,What are the long term side effects of the COVID-19 Vaccines - Dr. Sadia Anees Ali l Humana: https://t.co/be3EgJVMea,en,,,
2023-01-30 23:35:00+00:00,494f868ed2d3a358242840213e26f624b8dcc3d815cbd57eea601a7d8466ba6a,@MeetJess Probably referring to this study?COVID-19 Vaccine Boosters for Young Adults: A Risk-Benefit Assessment and Five Ethical Arguments against Mandates at Universitieshttps://t.co/teKLFQZCzj,en,,,
2023-01-30 23:34:30+00:00,727b0dd7ec94a5214f6ede02116fabfe701b4c99602869bcb942428265889a6d,"@healthbyjames at least CDC still requests it ""Non-U.S. citizen, non-U.S. immigrants: You must show proof of being fully vaccinated with the primary series of an accepted COVID-19 vaccine before you board your flight to the United States. Only limited exceptions apply.""",en,,,
2023-01-30 23:34:18+00:00,dd7082d90f194af7b9e3bf298b3267f966f4d07eb42c00a2fa0f30ada02c72aa,"Retsef Levi, an expert in risk management relating to the health field, is calling for the immediate suspension of all COVID-19 messenger RNA vaccines.After performing a risk analysis of the vaccines, Levi 鈥?a professor in the Massachusetts Institute of Technology鈥檚",en,,,
2023-01-30 23:29:40+00:00,0e0d8e0a506702f1906cc89c918a74a0,"Did you know that updated COVID-19 vaccine boosters are now available for everyone including kids as young as 6 months old, for free? Visit https://t.co/USbneZT9MU to find where to get yours. #COVIDSaferIn partnership with @norcalunitedway. https://t.co/sosNlsZ4gn",en,,,
2023-01-30 23:29:17+00:00,e2ec2c452c3aeb50fc01cfbb8dcbf4f8,@PaulCar96692668 @ChapmanCNSNews @5151mpk @healthbyjames A 'fact check' beats a conspiracy blog hands down! You've got to get off those sites!'...COVID-19 vaccines prevented more than 18.5 million US hospitalizations and 3.2 million deaths and saved the country $1.15 trillion.'https://t.co/MQBA8zKY3u,en,,,
2023-01-30 23:28:37+00:00,dceff9703f596d239dac465892713eac820a80599938968d2e0e1771a32abb25,@SuJane75163607 @MikeDel24516841 @TaraBull808 All mRNA adverse reactions--from mouth sores to myocarditis--point to high homocysteine levels as a result of CMV Reactivation. This book explains how homocysteine is linked to the COVID-19 vaccines https://t.co/hhdZ8naVKQ,en,,,
2023-01-30 23:27:59+00:00,9f4a6e723635c461364675d8ad5b4bff8b2b94bc88445a933f33595e60d2cc3d,"More importantly, there is no guarantee for novel, safe and effective vaccines to prevent the new dangerous variants, taking into account the various unsolved side effects of current COVID vaccines, as well as the unknown functions of the COVID-19 virus after weaponization by CCP",en,,,
2023-01-30 23:27:18+00:00,49f22a924c6b924c158385e84f84041d,"#conservatives wanna beat his ass for ruining  #TrumpCult #Biden says attack on #PaulPelosi directly ties to #right-wing #extremismThe suspect posted memes and #conspiracytheories on #Facebook about Covid-19 vaccines, the 2020 election #Jan. 6 attack.https://t.co/ghdRv91I3D https://t.co/Z3RBDD3O2m",en,,,
2023-01-30 23:26:50+00:00,6a312f8396e1ba2d1639cf10e545f819622fdfe66ef97d53711f4efec1dcc988,ALERT: Calls to suspend COVID 19 vaccines in South Africa because of safety concerns hit the news.https://t.co/t9uqqpZVgw,en,,,
2023-01-30 23:26:21+00:00,dceff9703f596d239dac465892713eac820a80599938968d2e0e1771a32abb25,#cdc  #booster #cardiac #Pfizer #diedsuddenly #fauci  All mRNA adverse reactions--from mouth sores to myocarditis--point to high homocysteine levels as a result of CMV Reactivation. This book explains how homocysteine is linked to the COVID-19 vaccines https://t.co/hhdZ8naVKQ 鈥?en,,,,
2023-01-30 23:25:18+00:00,a3f854be3c0b3a2c3209e6511b807b80ca3956902d62bf7b27ac59ab4ed9ed04,"Senator @bradhoylman introduced a bill to mandate covid shots for college students ""Considering the ease with which COVID-19 spreads on college campuses &amp; the risk to college communities, it is crucial students  get.. a vaccine before arriving on campus"" https://t.co/SW8ePi1hNd",en,,,
2023-01-30 23:24:56+00:00,1e3ab20fbe7380d74740696ac8cf8726,"@RepMTG The tragic loss of over 1 million fellow Americans due to COVID-19, the highest of any developed country, is due to the negative implications of politicizing masks and vaccines and propagating false information regarding the impact of HCQ and Ivermectin. STOP!",en,,,
2023-01-30 23:24:55+00:00,15090efaa95806d39456df62394b6627185815c0d48ec99a1db79d61b1f825be,"Updated beliefs and shaken confidence: Evidence from vaccine hesitancy caused by experiencing ""COVID arm"" #covid https://t.co/XA9sxucAMx",en,,,
2023-01-30 23:23:34+00:00,1e5453c356a81336461312bf50e2b98f,"Covid-19 leasing cause of death for children in U.S. 鈥淚t caused 鈥渟ubstantially鈥?more deaths than any vaccine-preventable disease historically, the researchers wrote.鈥?https://t.co/M0Gtovi0UU",en,,,
2023-01-30 23:23:14+00:00,d3d1f59b01f185169b910c656ae696f4d96c86a1de4a09bf4b41f05aa416da33,"@RepMTG After the Vaccine, Republicans Became Far More Likely to Die with Covid-19 Than Democratshttps://t.co/b0ZT8jI1BZ",en,,,
2023-01-30 23:23:13+00:00,d99c4b9fbf44a2245ed554da4add4ca2,"More than 1,000 New Brunswickers report adverse reactions to COVID-19 vaccines | CBC News https://t.co/iJcBghuCje",en,,,
2023-01-30 23:21:30+00:00,0a5aa470a1c089c0a874ced2c6c882cc682bf6e4fe240b184985fe61e5bc0e74,@Project_Veritas This is misinformation no? I mean it says Approved vaccine for Covid-19 and it's technically approved under emergency status!,en,,,
2023-01-30 23:20:46+00:00,77117dd160424699e8ba963307eccafd,Rep. Katie Porter Says 2 Manufacturers Control 97% Of Covid-19 Vaccine Market https://t.co/dWjIGD7VEb,en,,,
2023-01-30 23:20:00+00:00,6787b5756c9b91048b70c2aba05a618c,"Combined with the drawdown of most federal COVID-19 relief money, the move would also shift the development of vaccines and treatments away from the direct management of the federal government. https://t.co/9NGRkFSThw",en,,,
2023-01-30 23:19:55+00:00,a103d92b8b7ba595397ca774063f6917a78d6d900129fb41c0a71326aead0ef2,@LamarVannoy11 @RobertGKepes @Roman_Baber So why are they lying to the public if Deaths Involving Covid-19 vaccines is way higher than the potential 400 they claim?,en,,,
2023-01-30 23:17:24+00:00,4f3dd797dae7c74f89ee4b436859f1714c51b15f6955825ad4ee94e7dd5cd7cb,@greg_price11 @yazzy__fresh If this is true they aren鈥檛 creating viruses to make more money. They are creating variants to be prepared with vaccines. Most of you don鈥檛 even realize they were working on Covid vaccines 10 years before Covid. By working with SARS they were able to make the Covid -19 faster.,en,,,
2023-01-30 23:17:07+00:00,2c832aacfc4422cfaa1e72a6ed32f6aa8274dc5d4b8bfc3ceb4d8bc231e5dc3b,@RalphRaaijmake1 @infidel_cracka From Dec 14: Florida Gov. Ron DeSantis filed a petition to empanel a grand jury Tuesday to investigate whether Pfizer and Moderna committed crimes by recommending that people get COVID-19 vaccines.#PfizerInvestigated #ModernaInvestigated #Desantis https://t.co/PB0zBRksAo,en,,,
2023-01-30 23:15:59+00:00,58457edb1afca0c2c8f0f0d8a6431d1c01e14fc1e65a171f491c11e94600aa19,"@CNN You forgot to add the word vaccine. The vaccine kills children in the US and around the world, not COVID-19.",en,,,
2023-01-30 23:15:57+00:00,df4454ca16348eea41bbd84408965a4e125ec1f876ccc765204df0e72f14c218,"The #Covid_19 vaccines, kill more people than the virus. #vaccinegenocide #CovidVaccines #vaccineinjuries #pfizer",en,,,
2023-01-30 23:15:20+00:00,1651f298b98484c5a8e3360999e8e350,Biden Administration Plans To End Emergency Declarations On COVID-19 On May 11Biden Pledges Veto If Congress Passes Bill To Eliminate COVID-19 Vaccine Mandate On Health Care Providers Working On Certain Federal Programs$SPY $SPX $JNJ $PFE $MRNA $NVAX $AZN $BNTX,en,,,
2023-01-30 23:15:05+00:00,d52ac080ad9f2c705566569eb4becc91,The costs of COVID-19 vaccines are expected to skyrocket once the government stops buying them. https://t.co/1b3jBUnhaz,en,,,
2023-01-30 23:14:51+00:00,30c02095eb61bd16be65b3db29374d10a7e20130b6e6689f33af014d807e4b52,"Solving the COVID 19 crisis. Are you ready to listen, yet? The problem with the vaccines is that they were full of virus. It鈥檚 Pziser you want, that鈥檚 it. It you do get it just get the new treatment or treatment for pneumonia if it persists. Simple as that. Taken care of.",en,,,
2023-01-30 23:14:38+00:00,fc7bd3e08b23871a08159c1a9dfd58183ad904a2a28bdbad6fb4f83c81804fe3,Why India did not allow Pfizer鈥檚 Covid-19 vaccine? https://t.co/FQcuQ1uItO via @YouTube,en,,,
2023-01-30 23:14:27+00:00,2c832aacfc4422cfaa1e72a6ed32f6aa8274dc5d4b8bfc3ceb4d8bc231e5dc3b,From Dec 14: Florida Gov. Ron DeSantis filed a petition to empanel a grand jury Tuesday to investigate whether Pfizer and Moderna committed crimes by recommending that people get COVID-19 vaccines.#PfizerInvestigated #ModernaInvestigated #Desantis https://t.co/PB0zBRksAo,en,,,
2023-01-30 23:13:54+00:00,0e9b1f2a5c16446d395459c8d7dbacc1,@DanaMetcalfe5 Working directly with homeless populations I can tell you it鈥檚 the highest rate of drug overdoses we have ever seen . A lot of these people don鈥檛 have vaccines and are also dying from heart related issues due to Covid 19. I want to see unbiased stats and research.,en,,,
2023-01-30 23:13:27+00:00,f9a846b5f323abbcbc3c4d116b784203,"""For people without insurance, there will no longer be a pathway through Medicaid for free COVID-19 testing, vaccines, or treatment."" AWFUL",en,,,
2023-01-30 23:13:19+00:00,8f0364e9b47ee84eb2c0373164bfae539d88f393a4b92c54796ffd2d39921abd,'Pfizer' CAUGHT Admitting Babies Died During The 'MRNA' 'Covid-19' Vaccine Trials!!! https://t.co/ZjY3ucrAkz,en,,,
2023-01-30 23:13:16+00:00,339005ef48ce4c31d72d1b35daec83ff,@VaxxersAnti Gail needs to be reminded when the very first COVID-19 vaccine was administered https://t.co/5R86RtoIw8,en,,,
2023-01-30 23:12:09+00:00,b9e4a93445215d5149c6da36d3f48713830238aaf7c1bb2f3252b9fb324d78d2,"3/ Uninformed Consent synopsis: ""An in depth look into the Covid 19 narrative, who鈥檚 controlling it and how it鈥檚 being used to inject an untested, new technology into almost every person on the planet."" So hysterical vaccine, health &amp; political disinformation.",en,,,
2023-01-30 23:10:52+00:00,927222ef244a7399234e40477e169866c55220b3e29a701ba3f2d3aaddccf3c8,"@DBHuggins36 @goddeketal Indeed COVID-19 ""vaccines"" enhance infection by shingles and a host of other autoimmune diseases like cancer.""COVID Vaccines Linked to Shingles Reactivation""https://t.co/oDl3UTzSlB",en,,,
2023-01-30 23:10:10+00:00,7ab5f61a69a4d57509331c500b0b63cd6e533b608e02eab71cd422f8267c949a,Survey of previously vaccinated US residents finds the most common reasons for not getting an updated COVID-19 vaccine | News-Medical https://t.co/d4G5EAqehJ,en,,,
2023-01-30 23:10:05+00:00,1c6132523d472499ea57b46ff9040062,"@PeterJe97484487 @healthbyjames April 2020 US confirmed death toll from COVID-19 surpasses 50,000. Vaccine rollout didn鈥檛 start until December",en,,,
2023-01-30 23:09:48+00:00,f52e76fa22662a95f8ff36a98a6917e4,BREAKING REPORT: South African Media Now Covering MULTIPLE CALLS TO IMMEDIATELY SUSPEND the use of COVID-19 Vaccines...,en,,,
2023-01-30 23:08:26+00:00,5e39fb0368d84095ba1772d24c8483dd,"@POTUS to end COVID-19 emergency on May 11""Once the emergency expires, people with private insurance will have some out-of-pocket costs for vaccines, tests and treatment, while the uninsured will have to pay for those expenses in their entirety.""https://t.co/J9bhPcgLlV",en,,,
2023-01-30 23:08:11+00:00,3f9d632d53ec10b3b3a30636d702a075,COVID-19 vaccine boosters lower the risk of death among adults with multiple chronic conditions by more than 90% and increase protection against emergency department (ED) or urgent care (UC) visits among children aged 5 to 11 years by 77% https://t.co/06EBx2R1Uw,en,,,
2023-01-30 23:08:00+00:00,9e14f18ce538d773c4fb59cd4881f24c,"@Project_Veritas @YouTube @pfizer It says ""approved vaccines against COVID-19"". since when these vaccines were ""approved""?",en,,,
2023-01-30 23:07:34+00:00,e640347aa3ed8e62b60d15a7b362764b821f283cde8c34b915c488a851f264f6,Commentary: It鈥檚 still worth funding a better COVID-19聽vaccine https://t.co/o1nIxID1rx,en,,,
2023-01-30 23:07:24+00:00,11282fa374e103dc98176df3520f6a58,"From the AP: The costs of COVID-19 vaccines are also expected to skyrocket once the government stops buying them, with Pfizer saying it will charge as much as $130 per dose.Yep. Perfect.",en,,,
2023-01-30 23:06:52+00:00,0cda0d26a0f67bb6e80e1e2b2f4e21a779ea6213d3066c465c1c6b56c644f894,"Pres. Biden to end COVID-19 emergencies on May 11.Once the emergency expires, people with private insurance will have some out-of-pocket costs for vaccines, tests and treatment, while the uninsured will have to pay for those expenses in their entirety. https://t.co/9obBSBI5PW",en,,,
2023-01-30 23:06:50+00:00,1b8335454c39097ecddff0a5edf09a4b,"Covid-19 Vaccine antibodies are assumed to decay at the same rate as antibodies from natural infection, which is somewhat optimistic. https://t.co/juI0wVXv4G",en,,,
2023-01-30 23:06:42+00:00,5048c7a1b790d84a57fe6b93dd12eb0c,鈥淐OVID-19 vaccine boosters lower the risk of death among adults with multiple chronic conditions by more than 90%鈥?https://t.co/ukR2avjoVU,en,,,
2023-01-30 23:06:00+00:00,d7d43f54995b6580f7c8a32db91e56cc868ecfc50631b4c6d07c40b6a1acd69a,"@Kittyhawk I won't argue that the vaccine  would save lives, my argument again was mainly against Pfizer being a horrible company, before and after the pandemic and their product does not stop or slow transmission of Covid 19.  Also at this point with non-lethal variants, its a mute point.",en,,,
2023-01-30 23:05:56+00:00,3dac850605e650a294108480243cc7d82659d899a110c8b911b7df9a57aeebf9,"鈥淐ovid-19 deaths displace influenza and pneumonia, becoming the top cause of death caused by any infectious or respiratory disease. It caused 鈥渟ubstantially鈥?more deaths than any vaccine-preventable disease historically, the researchers wrote.鈥?https://t.co/THtuST65nv",en,,,
2023-01-30 23:05:25+00:00,8d8b2dcb6409b72c79b84cc2b1ae1b6b,"""The costs of COVID-19 vaccines are also expected to skyrocket once the government stops buying them, with Pfizer saying it will charge as much as $130 per dose."" https://t.co/daCfBSK7oR",en,,,
2023-01-30 23:05:00+00:00,ae99d6889d96429066ee2341ad813f41,"Once the government stops buying COVID-19 vaccines, prices are expected to skyrocket.  https://t.co/yeivX2B78O",en,,,
2023-01-30 23:04:47+00:00,e0d24e8adf2d39e830762086d9f3d50b9026c3d2d73e7cca99b009e9e8e5029f,"@CelticNotorious @sara_kayat On March 11, 2021, the AstraZeneca vaccine against COVID-19 was suspended in three Nordic countries and, on subsequent days, in other European countriesJust shocking, these doctors have blood on their hands. History will look back on them with shame.",en,,,
2023-01-30 23:04:12+00:00,26d57f4bd8db1bb8987a54e0e9884e180ae0995267a9a567263168d78658f7ee,@TaraBull808 I NEVER HAVE TRUSTED THE VACCINE 馃拤 PEOPLE I AM 65 YEARS OLD AND NEVER WANTED THE COVID-19 VACCINE 馃槼,en,,,
2023-01-30 23:03:59+00:00,5757833734d460240514f2071d8d5f6b,@DC_Draino Ask him to make clear his position on the Covid-19 vaccine.,en,,,
2023-01-30 23:03:53+00:00,f67838b377a465d481b9ce59b4b2c2e9,"The Guardian.Christian nationalism has deep roots in American history and has gained traction at different points,鈥?said Amanda  ReAwaken Christian nationalism to sow doubt about the U.S. election system and the safety of COVID-19 vaccines while equating allegiance to Trumpism https://t.co/4tTgI3CoxS",en,,,
2023-01-30 23:03:19+00:00,b645efe3b64e95abd60c4584bb9b0b90,"Not happy about this decision at all. Americans with private insurance will shoulder some out-of-pocket costs for COVID-19 vaccines, tests, and treatments. The uninsured will have to pay those expenses in full",en,,,
2023-01-30 23:02:35+00:00,b8cc88bc3bd2df82f1a089a53b767facca3956902d62bf7b27ac59ab4ed9ed04,"North Carolina, Ukraine, China... seemingly funded by USA for WEF ""globalists""? The general public globally deserve to know the truth, especially those injured by Covid-19 or the vaccines... to know who, why and when this was engineered with what objectives?",en,,,
2023-01-30 23:02:28+00:00,6f2d82f3f40b5a324c63b4aa992d248ea815038668c3ab14759786c8af4ea424,The Taco Bell chicken wings are infinitely more effective than the Covid-19 vaccine,en,,,
2023-01-30 23:02:18+00:00,fe32addd0dabd808c67bd940aa38c1a9d49b011cf741ab13cb64582df53c6244,"https://t.co/vthWlzbf2V  (The U.S. military COVID-19 vaccine mandate has been lifted and Congress is considering legislation to compensate service members fired for vaccination status, but West Point refuses to acknowledge it. {no longer the place to be 'The Best You Can Be'}",en,,,
2023-01-30 23:02:03+00:00,6862c975220055e0af4b971dd6c45777eec7e0906ff8a27cbbef6499dd4939a2,@DC_Draino Ask him to admit that backing the Covid 19 vaccines was a huge mistake.,en,,,
2023-01-30 23:01:46+00:00,4cc86f179fd96b0584760bf86a9160bf10b3fc0694316b45f41ab625a5696b20,"@RBReich Nowhere in this country do police have immunity from lawsuits, but what about the pharma companies that invented the covid 19 vaccines?  They have immunity from lawsuits.",en,,,
2023-01-30 23:01:22+00:00,fe29f6162e335f6df1451ceaed3ba743,@w_terrence He doesn鈥檛 seem to learn from his mistakes.Example: COVID-19 vaccines &amp; waiver of liability to big pharma.  Now we know these vaccines aren鈥檛 working &amp; likely doing more damage than good.  He won鈥檛 admit that.Example: Putting Dr Fauci in charge instead of firing him.,en,,,
2023-01-30 23:01:00+00:00,542c7fbd9803b24d4938ebf5102ab81e718c6d3214794e002c3d3529990ceffc,"President Biden will end the COVID-19 emergency declarations May 11.After that, Americans with private insurance will shoulder some out-of-pocket costs for COVID-19 vaccines, tests, and treatments. The uninsured will have to pay those expenses in full. https://t.co/WwGJ8GhQyH",en,,,
2023-01-30 23:00:57+00:00,4876052cd6954d11f290bcfbfbc5bfc5b88f1933c24078871a80420844cd4a86,"@P_McCulloughMD @AndersonAfDMdEP Many leftists are bombarding us with new papers/studies like the one below, on how Covid-19 and the refusal of vaccines are the cause of so many heart problems. Could you shine your light on this, please? Thank you. https://t.co/pP4XsHNu8v",en,,,
2023-01-30 23:00:20+00:00,36740302085fff8901b72570f8e4ca5d5de47a1dec411e0e1a42ac8fc753ae9b,@CNN This COVID-19 vaccine agenda driven CNN news piece is one of the worst I've read...even for CNN...a crying shame if ever one existed.,en,,,
2023-01-30 23:00:08+00:00,b1de4a9e5d551a9b55ec923aca36a671,The costs of COVID-19 vaccines are expected to skyrocket once the government stops buying them. https://t.co/EPq9LO4bLU,en,,,
2023-01-30 23:00:06+00:00,9996a9a33af23127a68725da855ffc61,"Biden pledges veto if Congress passes bill to eliminate COVID-19 vaccine mandate on health care providers working on certain federal programs, according to a statement #cgtnamerica",en,,,
